"colors","names","r","g","b"
"#D8DAD9","Alicia",216,218,217
"#DDDDDD","Trixie",221,221,221
"#DEDCDB","Seraphina",222,220,219
"#E9E9E8","Ginessa",233,233,232
"#F2F3F3","Purity",242,243,243
"#EEEDEC","Aspen - MatteVelvet",238,237,236
"#EFEFEC","Lucy",239,239,236
"#F3F4F0","Snow White",243,244,240
"#FAFAFA","Tip Perfector",250,250,250
"#F5F5F4","Genesis",245,245,244
"#F1F0ED","Adel",241,240,237
"#FDEDE8","Buff Perfector",253,237,232
"#FDF2EC","Bethany",253,242,236
"#FCE6E3","Pink Perfector",252,230,227
"#FCDEE2","Joey",252,222,226
"#FCE6E9","Dot",252,230,233
"#FBF1F0","Sabrina",251,241,240
"#EEE0E0","Madison",238,224,224
"#ECDCDE","Grace",236,220,222
"#F4E8E9","Sari",244,232,233
"#F9EEED","Laurie",249,238,237
"#FCE8E3","Brenna",252,232,227
"#F8D7CF","Steph",248,215,207
"#F3E9E5","Erin",243,233,229
"#E1D7D5","Hermina",225,215,213
"#EDE0D8","Nude Perfector",237,224,216
"#EAE0DF","Lauren",234,224,223
"#E5DDD8","Minka",229,221,216
"#DCCECA","Shay",220,206,202
"#ECDAD6","McKenna",236,218,214
"#E6D8D1","Avery",230,216,209
"#F0D9D5","Rue",240,217,213
"#F4EAED","Portia",244,234,237
"#EEE0E4","Agnes",238,224,228
"#EBDFE1","Betty",235,223,225
"#DFD2D1","Avril",223,210,209
"#DAC4C4","Brittany",218,196,196
"#EFEBEB","Leia",239,235,235
"#EAE4ED","Marley",234,228,237
"#E3DDE6","Vickie",227,221,230
"#EFDBEA","Lavender Perfector",239,219,234
"#EADFE9","Birch",234,223,233
"#F2ECEE","SGTOP Sparkle Gloss Topcoat",242,236,238
"#F1E6E9","Monet",241,230,233
"#F7EFE0","Jacqueline",247,239,224
"#F5E2D7","Chantal",245,226,215
"#EBE0D2","Cho",235,224,210
"#ECDCCC","Cala",236,220,204
"#F0DED5","Jack",240,222,213
"#F2DACC","Tatum",242,218,204
