"names","colors"
"Lucky Dior","#E71F4D"
"Love","#C72240"
"Enchanted","#CAACA4"
"Muguet","#FDD9CB"
"Diorcharm","#E83741"
"Popsicle","#C31B4F"
"Twinkle","#EE809D"
"Star","#DF372C"
"Fantasmatic","#A1818C"
"Bubble gum","#BD226E"
"Tra-la-la","#F9C9C9"
"Diorcelestial","#5B1F52"
"Maybe","#F08176"
"687","#9B4164"
"Be Dior","#AC2335"
"Candy cane","#491720"
"Incognito","#D09493"
"Coraloha","#E74366"
"Mirage","#942D72"
"Palais royal","#977D7C"
"Sienna","#C88773"
"Junon","#617687"
"Aventure","#E51E31"
"Wonderland","#E83A53"
"Vibrato","#B28975"
"Lucky","#E40040"
"Bonheur","#E30B6E"
"Pandore","#C90205"
"Front row","#C70F55"
"Cosmopolite","#B53953"
"Massaï","#780C19"
"Nuit 1947","#340100"
"Rouge 999","#A10705"
