"group","name","palette"
"sheers","sheer luck","#F5EAED"
"sheers","lace is more","#F9E7E2"
"sheers","tuck it in my tux","#F8F5F3"
"sheers","gossamer garments","#FCC6CB"
"sheers","sheer silhouette","#F8B9A9"
"sheers","bodice goddess","#EDADBD"
"sheers","of corset","#F1C8BD"
"sheers","last nightie","#DFB6B5"
"sheers","marshmallow","#F5EEEC"
"sheers","waltz","#F0EFE7"
"sheers","baby's breath","#F7F0EA"
"sheers","allure","#F8EFE5"
"sheers","adore-a-ball","#F9F0F1"
"sheers","limo-scene","#F3F1EC"
"sheers","pass-port to sail","#E4DCD1"
"sheers","east hampton cottage","#F8EDE8"
"sheers","ballet slippers","#E4D6D2"
"sheers","angel food","#F4E8E4"
"sheers","mademoiselle","#F5E3E4"
"sheers","skinny dip","#F6E0D9"
"sheers","vanity fairest","#FDEDEB"
"sheers","hi maintenace","#F4E5ED"
"sheers","sugar daddy","#F9E1EB"
"sheers","spaghetti strap","#F2D6DB"
"sheers","pink glove service","#F6D6D8"
"sheers","back in the limo","#F8D5CE"
"sheers","dress is more","#FDF3EE"
"sheers","fairy tailor","#FAD6CE"
"sheers","sheer fantasy","#FCD2C7"
"sheers","blush-worthy","#FBE0DE"
"sheers","inside scoop","#FCD7D5"
"whites","all daisy long","#EAE7DF"
"whites","blanc","#EEEEEE"
"whites","going steady","#F7F5F1"
"whites","galentine","#EDC2C4"
"whites","pearly white","#F2EFEC"
"whites","lace to the altar","#F2F2F0"
"whites","pre-show jitters","#F5E7E4"
"whites","picture perfect","#F9F5EF"
"whites","satin slipper",NA
"whites","urban jungle","#EDE9E3"
"whites","lace me up","#FDEAE8"
"whites","diamond in the cuff","#F6E7E0"
"whites","mixtaupe","#EDE2DD"
"whites","wearing hue?","#F7E3DF"
"whites","imported bubbly","#F3E1DB"
"whites","make the cut",NA
"whites","between the seats","#E5DBD9"
"nudes","go go geisha","#EED9DB"
"nudes","stirring secrets","#FBE1DE"
"nudes","buttoned &amp; buffed","#F1D0BC"
"nudes","mind-full meditation","#E2D7D2"
"nudes","in full swing","#F8C3BC"
"nudes","come out to clay","#F9C8C2"
"nudes","home grown","#E6A68F"
