"colors","names"
"#C1C2C1","Amarapura"
"#E28586","Arabesque"
"#000000","Back Room"
"#A88478","Bad Influence"
"#D55D21","Blow-Up"
"#CB1F2B","Dovima"
"#f8f8f8","Ecume"
"#440235","Elbrus"
"#12090C","Endless Night"
"#BE2D00","Hunger"
"#649CCE","Ikiru"
"#A9A2BD","Kalymnos"
"#3C3B6D","La Notte"
"#A796D6","L'Avventura"
"#664E5B","Manosque"
"#554313","Mash"
"#DDC293","Milos"
"#294C6E","Mots Bleus"
"#000000","Night Breed"
"#18224E","Night Flight"
"#345AD7","Night Out"
"#535341","Night Porter"
"#E01123","Paradiso"
"#82001C","Paros"
"#60186A","Purple Rain"
"#F04551","Shameless Red"
"#A90004","Soup Can"
"#ADE1D5","Thasos"
"#C51321","Torre Del Oro"
"#C4938E","Zakynthos"
