"colors","names"
"#F15D5A","Adventurous"
"#614858","Amethyst Smoke"
"#FCD8DD","Angelic"
"#720A2D","Bewitching"
"#CD8F99","Blushing"
"#EC798E","Bubbly"
"#BC7F40","Chameleon"
"#C80047","Cherries In The Snow"
"#F9F9F4","Clear"
"#E48D62","Copper Penny"
"#E69DB3","Coy"
"#E1AD94","Creme Brulee"
"#B0889A","Daydreamer"
"#AE6475","Desirable"
"#5E0012","Divine"
"#A3D2B4","Eclectic"
"#B11679","Electric"
"#b29a92","Elegant"
"#da6eab","Extravagant"
"#ED1C24","Fearless"
"#4f2219","Foxy"
"#BA998E","Gray Suede"
"#A03296","Hypnotic"
"#ce677b","Iced Mauve"
"#7D8BC8","Irresistible"
"#0b0a1a","Knockout"
"#463A6F","Magnetic"
"#EB014B","Optimistic"
"#520111","Passionate"
"#C6168D","Plum Seduction"
"#00A651","Posh"
"#f2f2f2","Pure Pearl"
"#A5082E","Raven Red"
"#BE0018","Revlon Red"
"#C18076","Romantique"
"#d24249","Saucy"
"#f9d4bb","Sheer Petal"
"#fbebed","Sheer Pink"
"#A4A5AB","Sophisticated"
"#6940C7","Sultry"
"#a75664","Teak Rose"
"#c7732c","Totally Toffee"
"#D4403A","Uninhibited"
"#170A4D","Urban"
"#a11a1a","Valentine"
"#EA5994","Vivacious"
"#5c0f5c","Vixen"
