"colors","names"
"#F15D5A","Adventurous"
"#614858","Amethyst Smoke"
"#FCD8DD","Angelic"
"#720A2D","Bewitching"
"#CD8F99","Blushing"
"#EC798E","Bubbly"
"#BC7F40","Chameleon"
"#C80047","Cherries In The Snow"
"#F9F9F4","Clear"
"#E48D62","Copper Penny"
"#E69DB3","Coy"
"#E1AD94","Creme Brulee"
"#B0889A","Daydreamer"
"#AE6475","Desirable"
"#5E0012","Divine"
"#A3D2B4","Eclectic"
"#B11679","Electric"
"#b29a92","Elegant"
"#da6eab","Extravagant"
"#ED1C24","Fearless"
"#4f2219","Foxy"
"#BA998E","Gray Suede"
"#A03296","Hypnotic"
"#ce677b","Iced Mauve"
"#7D8BC8","Irresistible"
"#0b0a1a","Knockout"
"#463A6F","Magnetic"
"#EB014B","Optimistic"
"#520111","Passionate"
"#C6168D","Plum Seduction"
"#00A651","Posh"
"#f2f2f2","Pure Pearl"
"#A5082E","Raven Red"
"#BE0018","Revlon Red"
"#C18076","Romantique"
"#d24249","Saucy"
"#f9d4bb","Sheer Petal"
"#fbebed","Sheer Pink"
"#A4A5AB","Sophisticated"
"#6940C7","Sultry"
"#a75664","Teak Rose"
"#c7732c","Totally Toffee"
"#D4403A","Uninhibited"
"#170A4D","Urban"
"#a11a1a","Valentine"
"#EA5994","Vivacious"
"#5c0f5c","Vixen"
"#f06098","Pink Bloom"
"#000006","Blackout"
"#8BFAFC","It’s a Boy"
"#c8a397","Latte"
"#F5B0FF","Lilac Wine"
"#a17566","Mauve Kiss"
"#edc8cc","Sugar Crystals"
"#efeeef","Winter Baby"
"#9B0052","Deep Red"
"#FFFFFF","Crystal Clear"
"#FF38EB","Enduring Pink"
"#A35788","Rose Poudre"
"#FF087F","Hot Salsa"
"#304CFF","Surreal"
"#C1C2C1","Amarapura"
"#E28586","Arabesque"
"#000000","Back Room"
"#A88478","Bad Influence"
"#D55D21","Blow-Up"
"#CB1F2B","Dovima"
"#f8f8f8","Ecume"
"#440235","Elbrus"
"#12090C","Endless Night"
"#BE2D00","Hunger"
"#649CCE","Ikiru"
"#A9A2BD","Kalymnos"
"#3C3B6D","La Notte"
"#A796D6","L'Avventura"
"#664E5B","Manosque"
"#554313","Mash"
"#DDC293","Milos"
"#294C6E","Mots Bleus"
"#000000","Night Breed"
"#18224E","Night Flight"
"#345AD7","Night Out"
"#535341","Night Porter"
"#E01123","Paradiso"
"#82001C","Paros"
"#60186A","Purple Rain"
"#F04551","Shameless Red"
"#A90004","Soup Can"
"#ADE1D5","Thasos"
"#C51321","Torre Del Oro"
"#C4938E","Zakynthos"
